,town_check,town_set,county,
"Kilcullen, Kildare",Kilcullen,Kilcullen, Kildare,1483
"Kildalkey, Meath",Kildalkey,Kildalkey, Meath,137
"Kildare, Kildare",Kildare,Kildare, Kildare,5694
"Kildorrery, Cork",Kildorrery,Kildorrery, Cork,215
"Kildrum, Donegal",Kildrum,Kildrum, Donegal,267
"Kildysart, Clare",Kildysart,Kildysart, Clare,271
"Kilfenora, Clare",Kilfenora,Kilfenora, Clare,128
"Kilfinane, Limerick",Kilfinane,Kilfinane, Limerick,779
"Kilgarvan, Kerry",Kilgarvan,Kilgarvan, Kerry,156
"Kilkee, Clare",Kilkee,Kilkee, Clare,1260
"Kilkelly, Mayo",Kilkelly,Kilkelly, Mayo,230
"Kilkenny Borough, Kilkenny",Kilkenny Borough,Kilkenny Borough, Kilkenny,20735
